1969,The Box Tops,Soul Deep,blue-eyed soul,148.03546,121.274
1982,Adam Ant,Something Girls,rock,233.40363,119.293
2007,Gob,Face the Ashes,pop,209.60608,129.738
1984,Planet P Project,Pink World,new wave,269.81832,86.643
1986,Lionel Richie,Tonight Will Be Alright,quiet storm,307.3824,125.197
1987,Blue Rodeo,Floating,rock,491.12771,119.826
2004,Tesla,Caught In A Dream,rock,290.29832,150.062
2004,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,math-core,207.77751,166.862
1985,SUE THOMPSON,James (Hold The Ladder Steady),rock,124.86485,137.522
1997,Willie Bobo,Spanish Grease,jazz,168.25424,127.025
1961,Faye Adams,Crazy Mixed Up World,blues,156.39465,95.957
1972,Terry Callier,Do You Finally Need A Friend,jazz,342.56934,110.189
1964,The Shangri-Las,Twist and Shout,doo-wop,164.80608,130.1
1992,Billie Jo Spears,It Makes No Difference Now,country,133.32853,160.839
2007,Scarlet's Remains,Spin,metal,198.73914,115.061
2003,The Suicide Machines,Burning In The Aftermath,ska punk,95.68608,115.887
1995,Loudon Wainwright III,Human Cannonball,rock,190.48444,102.428
2004,R.L. Burnside,Glory Be,blues,277.78567,89.984
1992,Stevie Ray Vaughan,Crossfire,blues,248.78975,116.721
2002,John Hammond,I Can't Be Satisfied,blues,195.3171,123.142
2006,Casiotone For The Painfully Alone,Nashville Parthenon,hiphop,175.72526,141.919
1974,The New York Dolls,Human Being,rock,344.05832,154.953
2009,Eliane Elias,The More I See You,jazz,251.42812,86.091
1997,Lost Boyz,Certain Things We Do,hiphop,269.7922,90.218
1977,The Germs,Forming,rock,206.05342,133.144
1986,Chris Rea,Driving Home For Christmas,rock,241.162,180.149
1966,Perrey And Kingsley,Spooks In Space,easy listening,122.64444,102.538
1995,Francis Dunnery,Too Much Saturn,singer-songwriter,300.79955,124.175
1997,John Cale,Movement 4 [from Kiss] (Album Version),rock,228.46649,137.004
2000,The Berzerker,Deform (live),speedcore,165.61587,174.287
2003,Kings Of Leon,Wicker Chair,rock,187.92444,116.823
