1982,Adam Ant,Something Girls,rock,233.40363,119.293
2007,Gob,Face the Ashes,pop,209.60608,129.738
1987,Blue Rodeo,Floating,rock,491.12771,119.826
2004,Tesla,Caught In A Dream,rock,290.29832,150.062
1997,Willie Bobo,Spanish Grease,jazz,168.25424,127.025
1961,Faye Adams,Crazy Mixed Up World,blues,156.39465,95.957
2007,Scarlet's Remains,Spin,metal,198.73914,115.061
2004,R.L. Burnside,Glory Be,blues,277.78567,89.984
1992,Stevie Ray Vaughan,Crossfire,blues,248.78975,116.721
2002,John Hammond,I Can't Be Satisfied,blues,195.3171,123.142
1974,The New York Dolls,Human Being,rock,344.05832,154.953
2009,Eliane Elias,The More I See You,jazz,251.42812,86.091
1997,Lost Boyz,Certain Things We Do,hiphop,269.7922,90.218
1977,The Germs,Forming,rock,206.05342,133.144
1986,Chris Rea,Driving Home For Christmas,rock,241.162,180.149
2003,Kings Of Leon,Wicker Chair,rock,187.92444,116.823
1992,NOFX,Stickin In My Eye,punk,144.50893,152.622
1990,Soda Stereo,Entre CanAbales,rock,246.69995,112.903
1997,Heavy D / McGruff,Wanna Be A Player,pop,161.38404,96.979
2004,Black Eyed Peas,Let's Get It Started,hiphop,229.61587,105.206
2000,Nine Inch Nails,Metal,metal,426.89261,63.017
1963,Lesley Gore,It's My Party,pop,136.48934,129.122
2005,Suburbs,Monde De Fou,pop,187.24526,183.92
2001,Redman,WKYA (drop),hiphop,124.18567,85.008
1971,Hot Tuna,Candy Man,rock,239.59465,172.398
2009,Wolfmother,White Feather,metal,212.37506,110.745
2007,Jupiter Rising,They Say (Album),pop,193.4624,119.979
1991,Maxi Priest,Groovin' In The Midnight,rock,301.81832,61.971
1997,Porcupine Tree,Waiting,rock,416.80934,124.04
1984,Soda Stereo,Te Hacen Falta Vitaminas,rock,225.12281,175.421
2010,Enthroned,The Vitalized Shell,metal,240.74404,135.535
1991,DJ Quik,Born and Raised In Compton,hiphop,205.58322,181.115
1998,Diesel Boy,Cooler Than You,rock,124.15955,133.729
1994,Cradle Of Filth,Summer Dying Fast,metal,321.35791,193.693
1999,Nine Inch Nails,The Frail,metal,168.56771,130.284
2000,Mance Lipscomb,Going Down Slow,blues,187.53261,97.981
2009,Moss,Silent Hill,jazz,329.35138,111.079
1996,Dimmu Borgir,Master Of Disharmony,metal,282.53995,140.458
1997,Gary Moore,What Are We Here For,rock,345.93914,153.862
2010,Pascal Sangla,Une petite pause,pop,243.1473,93.238
1986,The B-52's,Wig,rock,261.74649,124.086
2003,Bebo & Cigala,Inolvidable,jazz,198.26893,132.967
1995,The Gone Jackals,Not Buried Deep Enough,rock,229.79873,135.175
2001,S.U.P,The Cube (Live),metal,384.70485,137.862
2008,The Killers,Spaceman,rock,284.3424,151.953
2001,Moonsorrow,Ukkosenjumalan poika,metal,356.49261,124.237
1999,Korn,Hey Daddy,metal,224.522,94.057
1986,James Horner,Atmosphere Station,rock,191.81669,90.084
2001,Mastodon,Shadows That Move,metal,233.58649,89.78
2007,U2,Kite Live from Sydney,rock,485.19791,134.083
2007,Korn,Ever Be,metal,288.49587,160.022
2003,Placebo,English Summer Rain,pop,241.52771,108.264
1988,Soda Stereo,Terapia De Amor Intensiva,rock,340.29669,91.328
1998,Soul Asylum,Lies Of Hate,rock,279.2224,68.734
2001,Jimmy Wakely,Beautiful Brown eyes,country,155.95057,109.065
1984,RUN-DMC,Hard Times,hiphop,234.65751,119.67
2007,Nightwish,Escapist,metal,301.06077,143.97
1982,Led Zeppelin,Poor Tom (Album Version),rock,182.09914,210.8
2008,Sandi Thom,Wounded Hearts,pop,205.21751,82.205
1989,The Field Mice,When Morning Comes To Town,pop,316.73424,162.682
1998,Gene Clark,Set You Free This Time,rock,168.38485,98.49
1995,Abraham Laboriel,Exchange,jazz,368.16934,93.106
2000,Sticky Fingaz,Oh My God,hiphop,266.4224,80.149
1989,The Jeff Healey Band,Hoochie Coochie Man,rock,313.7824,107.197
1989,Danny Wilson,The Second Summer Of Love,pop,167.20934,196.034
1989,Shawn Colvin,Another Long One,rock,224.60036,210.871
1999,Backstreet Boys,Larger Than Life,pop,236.25098,112.787
1994,Tom Petty,A Higher Place (Album Version),rock,236.17261,129.122
2004,Mitch Ryder,Jenny Take a Ride,rock,207.43791,97.538
2003,Danilo Perez,Native Soul,jazz,197.19791,159.233
2003,40 Grit,Intro,metal,75.67628,186.882
2000,Steve Morse,Prognosis,rock,363.85914,90.199
1998,Natural Elements,Mayday,hiphop,338.1024,185.88
1999,Neil Sedaka,Because Of You,pop,170.84036,76.013
2007,All Time Low,Shameless,pop,221.67465,91.483
1993,Regina Belle,Quiet Time,jazz,307.33016,92.672
1998,Debbie Davies,Little Sister,rock,225.67138,116.984
2006,Daath,From The Blind (LP Version),metal,230.86975,97.151
1991,Die Fantastischen Vier,BAPse,pop,149.99465,120.001
1985,Public Image Ltd,Ease,rock,492.30322,193.56
1994,Helen Love,So Hot,pop,81.97179,100.76
2003,Amy Winehouse,Stronger Than Me,jazz,256.10404,91.198
2006,Jackie Edwards,So Jah Seh,rock,256.62649,161.796
1999,Ensiferum,Warrior's Quest,metal,291.02975,179.988
2006,Scar Symmetry,The Illusionist,metal,271.5424,150.086
2006,Eighteen Visions,Our Darkest Days,metal,172.19873,131.079
2001,Weezer,Don't Let Go,rock,180.97587,142.68
1963,Boots Randolph,Lonely Street,rock,150.20363,101.485
1968,Bobbie Gentry,Courtyard,blues,177.57995,152.434
1996,The Real Kids,Now You Know,pop,222.11873,147.661
1983,J.J. Cale,Trouble In The City,rock,202.94485,133.398
2005,Precious Bryant,Dark Angel,blues,193.72363,91.538
2007,Kings Of Leon,Knocked Up,rock,466.65098,114.73
2006,Krystof,Prvni vesela,rock,262.55628,93.015
1999,Mary Black,Turning Away,rock,293.92934,163.567
2007,Owl City,Panda Bear,pop,187.6371,150.066
2006,Bobby Bland,Drifting From Town To Town,blues,181.49832,105.927
1991,CA3mplices,Ojos Gitanos,rock,307.56526,100.051
2004,Turisas,Sahti Waari,metal,146.59873,160.009
1995,Shakira,Pienso En Ti,pop,148.1922,115.066
1997,Blink-182,A New Hope,pop,225.12281,200.716
